id,vote_event_id,option,value
e20f602d-784f-495f-ba41-acd686d4f8bd,ocd-vote/eadc0475-f9fb-4091-9b4a-05a6cc10d536,no,23
43ad1e12-044c-4b8e-a396-37344adee5e4,ocd-vote/eadc0475-f9fb-4091-9b4a-05a6cc10d536,yes,128
ffcfd3aa-0aed-48fc-9af9-6485e95a185f,ocd-vote/ab320413-f13a-41ae-96eb-8928531be4c6,no,11
ec300060-f1d1-4ecb-8675-8a085918f189,ocd-vote/ab320413-f13a-41ae-96eb-8928531be4c6,yes,143
394d3102-da06-484c-a664-92ac2c4e83de,ocd-vote/d177e86a-50b0-4f96-b13f-99d60af65658,no,12
aa6d4538-5c5d-4d5f-93fd-3faf6566c831,ocd-vote/d177e86a-50b0-4f96-b13f-99d60af65658,yes,144
6002b425-b8f4-4c07-82fd-523488b38906,ocd-vote/42988f3e-bd56-4ad1-ad38-83e0add722eb,no,24
dfda101a-ec0c-4942-b871-6e45cc1a18fa,ocd-vote/42988f3e-bd56-4ad1-ad38-83e0add722eb,yes,128
be097ed8-458e-4b33-a569-b036f5ce4ba0,ocd-vote/f726631c-7eab-4c37-898c-54d5fadc6e91,no,21
04457b47-1471-4cf8-9088-77cc736c8d7f,ocd-vote/f726631c-7eab-4c37-898c-54d5fadc6e91,yes,134
94b78a6c-1c58-4211-ac7a-7f2b7ee30dd5,ocd-vote/0803c1f6-f009-4b28-a0f2-a1f15d34a8ee,no,23
0a2e9df3-e289-4f18-af90-32aa01f3c49d,ocd-vote/0803c1f6-f009-4b28-a0f2-a1f15d34a8ee,yes,128
aea267e8-503b-4b7c-8004-3ef37af5f644,ocd-vote/7527aca9-a67b-46bd-8dbc-320e4fec9ddb,no,130
283f9842-9ecc-437b-8da1-c6f68a392335,ocd-vote/7527aca9-a67b-46bd-8dbc-320e4fec9ddb,yes,26
cd3ef71a-3e85-4718-9a92-42a5284cf523,ocd-vote/34f5298f-9d70-4d0b-ab0b-f0b4071a6d99,no,25
5f4b5a0b-f16a-4f70-8f32-b8fbbc22c253,ocd-vote/34f5298f-9d70-4d0b-ab0b-f0b4071a6d99,yes,132
5c3a1ffa-3d1d-4dc9-bc8e-97718f744f6b,ocd-vote/9fc13b77-89d9-424c-b599-6a1b53801030,no,0
2f27e318-e84c-4019-9e4d-ca43b2fb40c3,ocd-vote/9fc13b77-89d9-424c-b599-6a1b53801030,yes,155
b55641fb-8659-482b-b208-3532fc4d66a1,ocd-vote/36858baa-28ef-46b9-8dd4-804850a519fa,no,3
833942df-6164-4c47-9de5-f14e56fcfb8f,ocd-vote/36858baa-28ef-46b9-8dd4-804850a519fa,yes,154
fd08f3b7-f7a3-4d57-8542-be692d94e6fe,ocd-vote/09e071f5-dae6-41c9-b8b1-6fc7105eba63,no,128
fcf2016a-1bf9-4488-afe6-2604ea37de76,ocd-vote/09e071f5-dae6-41c9-b8b1-6fc7105eba63,yes,23
82f4bf6a-ec86-453d-8f48-002a574fd37b,ocd-vote/b9d1aaf1-d299-43a3-815f-867af0a270b6,no,131
13421b71-7c0b-4033-9a59-fe21ac8bb232,ocd-vote/b9d1aaf1-d299-43a3-815f-867af0a270b6,yes,25
28177068-7dd1-43e7-97c1-cd2119922eb7,ocd-vote/5bf07253-ffa0-447a-8199-8575a7ed51d8,no,0
45c6efcc-7dda-404e-8514-98e2675a43ff,ocd-vote/5bf07253-ffa0-447a-8199-8575a7ed51d8,yes,157
83af1745-c995-481d-895c-f2a3ae857113,ocd-vote/d5e20493-aba4-41fb-9f0c-80d65fb577ac,no,2
a648b5ed-19c0-472a-b958-21e3301bb1c8,ocd-vote/d5e20493-aba4-41fb-9f0c-80d65fb577ac,yes,147
45e8fd85-6575-460d-8d1d-1be5cca02930,ocd-vote/29b8b7ea-e9f5-49e3-84d4-80c41a7de209,no,4
5e6001bb-b027-4f70-a854-961535e95941,ocd-vote/29b8b7ea-e9f5-49e3-84d4-80c41a7de209,yes,151
0affc232-b758-4a3a-895c-88d9fbe41c70,ocd-vote/da2a492f-ea17-486d-ac3c-7f8c298f9d1e,no,24
0c4ed7de-af76-42a5-bb5b-a338b36d4622,ocd-vote/da2a492f-ea17-486d-ac3c-7f8c298f9d1e,yes,132
c33ff21d-5fa7-4160-ba2a-f815d4a90970,ocd-vote/a4d40bbf-227c-423a-b5f7-781332eb148e,no,11
d35a1482-4f46-4ad5-8a6f-2d751abcaf41,ocd-vote/a4d40bbf-227c-423a-b5f7-781332eb148e,yes,144
34a885f2-5b13-4cf0-b50f-aa973f9a5647,ocd-vote/acca4176-1372-4664-994e-cb291b2b40a0,no,145
481a87fd-4a6c-468a-8639-48c7956c5d49,ocd-vote/acca4176-1372-4664-994e-cb291b2b40a0,yes,12
3a2ab01a-b468-4e61-bf8f-3d10263c2c83,ocd-vote/e331001d-ca0f-4051-a75b-c4b4bc8107d8,no,132
8af61724-7e3f-4c84-ad43-9f1598ab4562,ocd-vote/e331001d-ca0f-4051-a75b-c4b4bc8107d8,yes,25
ea7be59d-abe5-4f43-9347-25549b07812e,ocd-vote/11a6e656-f511-4292-b3bb-83ee47fc82e0,no,20
542e9c5e-fe94-47d3-a6dd-1b88b9f4a919,ocd-vote/11a6e656-f511-4292-b3bb-83ee47fc82e0,yes,134
1ef7e059-e65a-411f-91f7-ece504da2b84,ocd-vote/a485ef29-49eb-421a-a2fd-ef717dbb0847,no,8
5406a0d2-e239-4089-a152-6d7a7b61bd4b,ocd-vote/a485ef29-49eb-421a-a2fd-ef717dbb0847,yes,145
ce3936e0-9d03-4a45-b391-8c0244ea6e91,ocd-vote/13fc0a58-6c18-4dd9-8f08-96f2d1f626ed,no,0
94f78183-690b-4a69-a21d-812f4872f4d1,ocd-vote/13fc0a58-6c18-4dd9-8f08-96f2d1f626ed,yes,155
c2e820e3-bde6-4243-abdd-0a0a4b60ed3b,ocd-vote/e23dbe0a-0088-4385-bdbf-1d806595332f,no,13
d804dee3-2f65-481d-b7e0-f2f7f6ccb0e6,ocd-vote/e23dbe0a-0088-4385-bdbf-1d806595332f,yes,142
6325ff9d-fcb2-45cb-ba00-5d4cd25f2195,ocd-vote/72de1a09-d168-44d1-b16d-24145a88d4d8,no,1
624933de-a9fa-4f7e-a6e7-d247edf9c194,ocd-vote/72de1a09-d168-44d1-b16d-24145a88d4d8,yes,150
f9af25b1-9d80-4a7e-8522-f2c4a06672de,ocd-vote/03c9919a-30cc-4bd7-9194-b1bd216b82bd,no,25
2e3806f1-96f2-4181-bef1-b3fa101c9014,ocd-vote/03c9919a-30cc-4bd7-9194-b1bd216b82bd,yes,127
9ec850df-7842-4838-93c7-f9c8dac1b3e8,ocd-vote/159f2cec-0ce2-438e-8503-879f4af79f5a,no,4
74a8509e-c9b1-4fe8-8c76-2958cd189bf0,ocd-vote/159f2cec-0ce2-438e-8503-879f4af79f5a,yes,151
42e119b3-aecd-4535-bb63-4a1ec8883a50,ocd-vote/1a8272fc-04b0-4e94-b730-0278311e72c8,no,130
5da79f64-5c8c-44bf-9c15-2ef72554c4b9,ocd-vote/1a8272fc-04b0-4e94-b730-0278311e72c8,yes,26
e5d06a4c-a306-46ec-8e38-419fccd92920,ocd-vote/46ed9002-bbf6-469d-af44-979afbd75581,no,22
71119d5e-0b69-4b36-9fa4-c24435fb0d35,ocd-vote/46ed9002-bbf6-469d-af44-979afbd75581,yes,133
7a214c57-45bf-4c71-9298-fa079dae6907,ocd-vote/f172fbee-fe80-44bf-a409-efd2ec2c166b,no,14
d77d82ca-4ee6-4ce5-8c6e-e33b5d405e19,ocd-vote/f172fbee-fe80-44bf-a409-efd2ec2c166b,yes,140
e7136b34-8351-4f96-a4d0-7e128a3fea32,ocd-vote/654d6d13-ec6f-45db-9ff4-3c976eeb0831,no,0
775763e1-3278-430f-b2da-b142f586232a,ocd-vote/654d6d13-ec6f-45db-9ff4-3c976eeb0831,yes,152
79c196e5-b841-43d3-ae00-2784788c978e,ocd-vote/fb1c8331-d8d6-4ec3-ba5a-d38d309d9a1d,no,0
f431a310-f5d2-495b-8e5b-53f34e64fbf9,ocd-vote/fb1c8331-d8d6-4ec3-ba5a-d38d309d9a1d,yes,157
f8df824f-50f3-44ba-b166-c307447c5b4e,ocd-vote/0fd6772c-a35b-4957-b490-ea1d6913672b,no,0
4d26006f-a50f-4b5a-96a4-dd80e9be3473,ocd-vote/0fd6772c-a35b-4957-b490-ea1d6913672b,yes,155
