id,bill_id,related_bill_id,identifier,legislative_session,relation_type
ff3fe1ff-5b93-4411-b2c9-f2c8e292aecb,ocd-bill/b7e2f2cb-13f8-41dc-836c-9d80393e303f,ocd-bill/0d9b884c-8498-4122-9b61-6babc5fecb4b,HD 1756,194th,replaces
f057beb8-aad8-44d3-a7db-8b053b1282b5,ocd-bill/10dbc249-6cc9-4133-a9fd-066d82d3cb00,ocd-bill/b7b4b93a-61bd-4b9e-8e6b-d6986df4afe4,HD 304,194th,replaces
2c078100-36c3-4205-af61-70d9a19c9575,ocd-bill/90c3185f-99c0-46d1-bb89-f1f045ed6826,ocd-bill/d60820cc-3a42-49db-b76f-911c10d5f44a,HD 3333,194th,replaces
c4a38451-7c6c-4aac-ab50-8ca76850c54f,ocd-bill/0a52a997-2d32-4262-bbd1-54edec6baa50,ocd-bill/efdab009-b52c-4354-b348-db7cf1a15a43,HD 1003,194th,replaces
213fc4e3-ee90-4cd4-b20b-e80bef8d2d99,ocd-bill/d41ae9b9-5926-4967-8d1a-e1e4ab678bae,ocd-bill/c5d0b266-d2c1-49df-b780-beca5da21e10,HD 4090,194th,replaces
14275f2f-5946-4e46-9031-e547da70c5df,ocd-bill/e7fd1d25-7cfd-4b20-bdb2-63196457ac75,ocd-bill/72827c3c-f509-4c00-9191-5f0525d3d6bb,HD 3353,194th,replaces
764eae06-43d5-4b62-b925-870bd96d785c,ocd-bill/40fcb41f-da57-486e-a386-032c14a3beba,ocd-bill/0163bc64-93f8-4069-b31c-0116d1af8de4,HD 2229,194th,replaces
27ce3f74-9443-4e8f-ac27-61f08ca863ee,ocd-bill/3d1b9624-0a27-4842-88e4-4c1a6b7c24d3,ocd-bill/e6c146fa-e52a-4d96-972f-ed398d0d1aec,HD 4234,194th,replaces
7b2b19ae-7ad6-48fb-92c9-b70bfba8094c,ocd-bill/eea5322c-e86a-45bb-abdb-889b6ae065c7,ocd-bill/db11ab26-527a-4fb1-b836-8802501d2b5b,HD 3422,194th,replaces
eff6ea33-361c-48a3-8c89-188c1b71ee2c,ocd-bill/eb4b157e-866c-4193-b5f1-7b759020bc3c,ocd-bill/a849e3c5-c2da-45c1-b931-1e128d20d5d1,HD 2752,194th,replaces
ba447449-9df8-4303-ac73-da5d2e5cbe0c,ocd-bill/1539bb51-c119-4591-9119-18ead54c8ac9,ocd-bill/86f4634f-1d33-4e30-ab9f-049b9e3de0b5,HD 3423,194th,replaces
da558d4c-f361-4222-8a1c-9b3dc6ccf41d,ocd-bill/eb2d6a18-4203-4cea-ade9-ba760eb86b77,ocd-bill/7c16b00e-52a3-43c8-bfd4-56c521310f8c,HD 2495,194th,replaces
3a31e085-5a1a-45f7-a984-44afdb2e685d,ocd-bill/d5afa961-7e08-4b08-844f-97d5f745c458,ocd-bill/a55a1877-1b16-4f4b-96ba-e0484bc6f409,HD 2497,194th,replaces
57fcc91f-4769-4c19-9df7-695947c7315d,ocd-bill/0a93a2ec-3064-49b8-9808-7570c274492c,ocd-bill/d67881e0-b596-4383-989d-89019e7b0c63,HD 602,194th,replaces
fb8f2d18-2218-4919-aacd-8e01fc4b961f,ocd-bill/31e82a31-5d50-4656-bb9c-8017a39bda7f,ocd-bill/c2ceef1b-3aa3-4c94-ac52-600250aa03e1,HD 3835,194th,replaces
709e9fcb-a21e-499f-b0cc-fc87247f3ff9,ocd-bill/0c3d4924-3076-4bf0-a6e8-2aba79c236b3,ocd-bill/f40e4c7c-6a84-49ff-aebe-5deb7acda631,HD 2962,194th,replaces
f94c29ee-79cc-4973-9810-c0121947b913,ocd-bill/0515f1d4-cfb2-4e61-8e8b-cb48e19fd2bb,,HD 1,194th,replaces
ec2a00e9-ba23-4e38-b9af-03078fd329f0,ocd-bill/3743d929-fdcb-4079-b4ed-97c0356ad307,ocd-bill/10f2bfb5-b268-4b42-9450-8b34ee61bf37,HD 4382,194th,replaces
