id,bill_id,identifier
cb75b1d8-8638-4677-b117-59e10352f0b8,ocd-bill/77e75efa-247f-442b-ab0f-ae7a067bcb6a,ocd-bill-ma-194th-sd2845
e346df75-ed44-49dc-9b97-08091e7b4840,ocd-bill/1982333f-4266-4c1f-a44e-4167cc9cfb35,ocd-bill-ma-194th-hd4357
fd94c465-f56d-4c63-b072-78af94639298,ocd-bill/e1654351-327b-4d3f-9d42-7746d6c1bfe1,ocd-bill-ma-194th-sd3008
04d94f44-a293-4f92-8a35-6bd2477622c7,ocd-bill/1cbddf44-54dd-4136-b6f2-2a7db337d023,ocd-bill-ma-194th-sd3029
f62ec77b-5811-4940-9f55-ebdd81afefcf,ocd-bill/c84e06f8-dc0b-4719-bbb3-c5920bbeeed3,ocd-bill-ma-194th-sd2869
7c42b8be-9968-4c8a-a733-44021b414e97,ocd-bill/3d1b9624-0a27-4842-88e4-4c1a6b7c24d3,ocd-bill-ma-194th-h4041
c77ef483-72b9-4b80-8c9e-c7106af8bb67,ocd-bill/f5cbc315-009e-4cc1-bd06-af39b664649d,ocd-bill-ma-194th-hd4649
c274aedd-0b6d-40fb-8411-857b50c208ae,ocd-bill/a3745a45-bee3-4c28-aaa5-4f02d09a8a29,ocd-bill-ma-194th-hd4378
f5d9e654-fa91-4e24-9d26-c1486df6a6a0,ocd-bill/b1315012-3a4d-4363-ae61-c2af81e7e360,ocd-bill-ma-194th-h3060
4f719a13-65a3-469e-a6f3-3de216b3ed1b,ocd-bill/e120c987-db5b-4fa6-95a5-0fc3c39f3f70,ocd-bill-ma-194th-h4105
004182b6-2c4b-4d58-b1f5-894a911bde7d,ocd-bill/1eaffbd2-3532-4d8e-b4d5-820258c00481,ocd-bill-ma-194th-h2193
174812f8-4672-4676-bd36-fee2cfa45b1e,ocd-bill/83d4ba7b-a8fc-4d11-8498-ee80fe27e08d,ocd-bill-ma-194th-h3922
b3c1a6aa-58ba-4b2d-981e-09c38a188c2c,ocd-bill/22e9d43b-b65f-4027-b976-acb2b2da4639,ocd-bill-ma-194th-h4135
3fea4295-747d-4a00-a37d-fa14f110efae,ocd-bill/5dfff867-1833-4591-9f02-ef2a0fcd389e,ocd-bill-ma-194th-h61
adb30005-96a1-4771-a02d-86c35903cece,ocd-bill/6ee73ef5-1630-4f46-be1a-a75199057cb8,ocd-bill-ma-194th-hd4294
84023131-f30f-43d3-be50-5b6c1568ff88,ocd-bill/577f767b-4005-4f88-abab-bb635c5a92d1,ocd-bill-ma-194th-sd2894
08740f3e-3b4e-42ce-84a5-05a9bd575694,ocd-bill/20c48486-d246-4c42-b30c-91ed06b11b66,ocd-bill-ma-194th-hd4288
359462e8-0557-4b16-b846-ef4c29ad81cf,ocd-bill/6b560434-4db3-4c32-a44c-df74f5ab756d,ocd-bill-ma-194th-sd2771
f0b432c3-f99c-4bdd-baa8-98063ae52aa1,ocd-bill/fe927e41-4b3a-45e1-8873-ff96394e9bd2,ocd-bill-ma-194th-hd4638
ed2198a3-9cf5-4182-9f43-d398d3edd1a3,ocd-bill/6edc0945-3acb-4708-95c1-2328d291be82,ocd-bill-ma-194th-sd2929
eb356455-3051-48e7-9c96-b98452ed3772,ocd-bill/7e8859fc-afdf-47c2-a213-6abbb1d68d9d,ocd-bill-ma-194th-sd2725
e18fc597-a3bf-45bb-97e3-5e7184342550,ocd-bill/ebabd8b4-a5c9-462a-b236-6b2edbd250e7,ocd-bill-ma-194th-hd4612
141eec67-f859-4c50-9e04-66ee11761ce5,ocd-bill/10b09342-2e9b-44c8-b847-9370b3abb2fb,ocd-bill-ma-194th-hd4374
87f9cbb0-1aaa-4b89-b098-8d93c96dbc69,ocd-bill/49fade01-d4b5-435e-826a-e917e2768da4,ocd-bill-ma-194th-h3927
77cf5f31-8dd8-4f5a-8164-930a81b70378,ocd-bill/f202dcef-fd72-43dc-b860-f9a52e947b0c,ocd-bill-ma-194th-s2543
2ce14f6d-ecad-48c9-ab4c-690472a45219,ocd-bill/ebe68a77-4d48-4c30-a830-95e25c0dde99,ocd-bill-ma-194th-sd2723
a03bf56e-094f-4043-a6a4-6e368f3fadb3,ocd-bill/8b173358-470d-4b3b-9714-12741685719d,ocd-bill-ma-194th-sd2744
b3dddc34-c44a-4ef3-9d00-6dd4dd7512b4,ocd-bill/e3108948-3fd6-42e1-b24c-923160a33fbc,ocd-bill-ma-194th-sd2791
52f84d22-4891-4595-8534-c0ee796dab0a,ocd-bill/f909e65c-bf4e-40a1-ac5a-f95b3206c1ff,ocd-bill-ma-194th-h3916
9ce64f2d-88b6-4a42-a2f4-104f40492f27,ocd-bill/1a8e22c8-3c98-4ebb-a8e9-c25dcca87c8c,ocd-bill-ma-194th-sd3034
