id,identifier,title,classification,subject,session_identifier,jurisdiction,organization_classification
ocd-bill/d6c452a2-de7c-4469-af49-91eed1655d77,H 4677,An Act to facilitate the delay of the income tax filing deadline,['bill'],[],191st,Massachusetts,lower
ocd-bill/bcf8f902-8f4c-4051-9b10-41c79a6065da,SD 2921,"An Act to provide liability protections for contractors, sub-contractors and unions during the COVID-19 Pandemic",['bill'],[],191st,Massachusetts,upper
ocd-bill/cddb32f0-258d-46d3-ba73-e4e710113031,H 4160,An Act relative to Rosa Parks Day,['bill'],[],191st,Massachusetts,lower
ocd-bill/3a3b10da-09e6-48a5-83cc-25b1d85423c4,H 1055,An Act to ensure access to generic medications,['bill'],[],191st,Massachusetts,lower
ocd-bill/80123649-2303-4c28-ac66-95739c84fd39,S 2307,An Act authorizing the City Council of the city of Somerville to appoint a clerk of committees and assistant clerks of committees,['bill'],[],191st,Massachusetts,upper
ocd-bill/5a537a58-a127-42da-9802-90e997337d13,H 4170,An Act protecting workers' wages from arbitrary recoupment of overpayments,['bill'],[],191st,Massachusetts,lower
ocd-bill/7b594415-57d9-4b61-a764-eb80883ad3bb,H 393,An Act to establish an entrepreneur learner's permit program,['bill'],[],191st,Massachusetts,lower
ocd-bill/885b12d2-e0f6-4c04-b8db-8d51e568e0c1,H 4449,public health matters,['bill'],[],191st,Massachusetts,lower
ocd-bill/6a3ce90b-1bd4-4902-ad69-435095a4b02d,H 2947,An Act relative to the architect laureate,['bill'],[],191st,Massachusetts,lower
ocd-bill/f73c5145-e692-4b23-958f-fe2ed6baf31d,SD 1425,An Act designating May 6 as Moyamoya Disease Awareness Day,['bill'],[],191st,Massachusetts,upper
ocd-bill/d95eb8d6-4fcb-45b4-b1fd-1cf1bf1ca116,S 2690,An Act to improve augmentative and alternative communication opportunities for children with disabilities,['bill'],[],191st,Massachusetts,upper
ocd-bill/e16a9fde-d24d-48b9-9721-e982bc776a83,S 2443,An Act relative to housing reform,['bill'],[],191st,Massachusetts,upper
ocd-bill/c09b81ea-4bf6-400e-babc-09b586be0e72,HD 5074,An Act to provide relief and promote fiscal stability,['bill'],[],191st,Massachusetts,lower
ocd-bill/9830891d-89cc-4de4-984a-49991158a268,H 2723,An Act relating to fair pay and safe workplaces,['bill'],[],191st,Massachusetts,lower
ocd-bill/817fb564-a927-495a-b0e7-c249977d539f,S 1799,An Act further regulating certain light frame residential construction,['bill'],[],191st,Massachusetts,upper
ocd-bill/59d10799-b29f-4a0b-815a-e1498473ea3f,H 384,An Act relative to a loan forgiveness task force,['bill'],[],191st,Massachusetts,lower
ocd-bill/9e12c9a8-f98e-4370-a520-2d97703eb945,H 2332,An Act relative to credible service for VISTA volunteers,['bill'],[],191st,Massachusetts,lower
ocd-bill/6665076a-e13a-4ec0-90bb-9758219f7609,H 3640,An Act amending the act authorizing affordable housing convenants in the town of Nantucket,['bill'],[],191st,Massachusetts,lower
ocd-bill/1c3224b8-fadf-4b90-ae33-4c31a6bb8e97,S 520,An Act relative to recycling,['bill'],[],191st,Massachusetts,upper
ocd-bill/aa6e2271-eee0-4ece-9761-676c7047919d,S 2192,An Act relative to gender identity on Massachusetts identification,['bill'],[],191st,Massachusetts,upper
ocd-bill/e8d5c1ed-f567-4871-b976-6f2cf51242f8,H 1233,An Act establishing a community college campus hunger pilot program,['bill'],[],191st,Massachusetts,lower
ocd-bill/f3a6e7d0-55a0-483d-a1e1-cb0ce6754e53,H 2170,An Act relative to employment benefits for Patricia Kannler,['bill'],[],191st,Massachusetts,lower
ocd-bill/57cce832-c54e-4128-ac8d-49e0fc96917f,H 2778,An Act relative to the technology fund,['bill'],[],191st,Massachusetts,lower
ocd-bill/e63eccb3-445d-4829-b6a9-4c7d3e83bdd8,H 2712,An Act relative to the Fort Devens Museum,['bill'],[],191st,Massachusetts,lower
ocd-bill/16f7dbfc-7e90-4b35-b4ed-067df9146510,HD 3452,An Act to promote the transition to clean transportation fleets ,['bill'],[],191st,Massachusetts,lower
ocd-bill/16a182d3-3fcb-4268-a8d9-ede6bfb83e1a,H 4686,Extension Order H.4686,['bill'],[],191st,Massachusetts,lower
ocd-bill/35287b72-1681-4d83-b6b1-c78265c20e4f,H 1066,An Act requiring the fingerprinting of TNC drivers,['bill'],[],191st,Massachusetts,lower
ocd-bill/b5b4eae0-8005-4daf-a83c-e7037ddaf6b0,H 4421,An Act relative to early college high schools,['bill'],[],191st,Massachusetts,lower
ocd-bill/787eb960-16c3-472c-a515-771263f8417b,SD 2925,An Act providing COVID-19 emergency financial relief for veterans,['bill'],[],191st,Massachusetts,upper
ocd-bill/effc44cf-7dcb-43f1-9d9c-0f0275699e29,H 4834,An Act relative to the Revere & Son Heritage Trust Corporation,['bill'],[],191st,Massachusetts,lower
