id,bill_id,abstract,note
228d2bf9-d837-4ed0-948f-52c20ca382c7,ocd-bill/e617d83a-4465-449c-86e4-92bc25082737,"Senate, June 25, 2020 -- Text of the Senate Bill Putting Patients First (being the text of Senate, No. 2769, printed as amended)",summary
17798b89-5e41-4987-bdef-cbb2514c3d26,ocd-bill/b2cd8c72-d725-4fb6-bafb-a5a22d13cb70,"Substituted by the House, on motion of Mr. Speliotis of Danvers, for a bill with the same title (House, No. 4010). December 7, 2020.",summary
282c7da7-f0f3-43d9-87ac-2b8105cf8e80,ocd-bill/3692198c-90d2-4b4f-9262-ed18fb27287d,"Substituted by the House, on motion of Mr. Speliotis of Danvers, for a bill with the same title (House No. 5093).  December 18, 2020.",summary
1c2069b4-227b-42c6-aaa6-a13abdfd722d,ocd-bill/11c5b314-0623-427a-b766-901b94755f84,"Senate, July 2, 2020 -- Text of the Senate amendment to the House Bill making appropriations for the fiscal year 2020 to authorize certain COVID-19 spending in anticipation of federal reimbursement (House, No. 4808) (being the text of Senate, No. 2789, printed as amended)",summary
52d3c5e2-6d70-4cf3-898f-5c41245c6a19,ocd-bill/75921459-8a34-4138-b7c9-bebee719e8d5,"By Mr. Lewis of Framingham, a petition (accompanied by bill, House, No. 4842) of Jack Patrick Lewis, Carmine Lawrence Gentile and Maria Duaime Robinson (with the approval of the mayor and city council) relative to authorizing the city of Framingham to erect a permanent pavilion exceeding 600 square feet in Mary Dennison Park in said city.  Municipalities and Regional Government.  [Local Approval Received.]",summary
081f6e27-37be-4419-a6c2-d47f07bfbf85,ocd-bill/7012ff2c-7092-46ac-ab50-8d65e1eba6c6,"By Ms. Barber of Somerville, a petition (subject to Joint Rule 12) of Christine P. Barber and others relative to further regulating the inclusion of federal gross income in the calculation of the taxation of corporations and to create progressive revenue.  Revenue.",summary
5bdcb610-098e-4dd6-9530-014fafd7af5f,ocd-bill/33ac4ed5-c4f4-4fba-9306-faba297e89a0,"By Mr. Day of Stoneham, a petition (subject to Joint Rule 12) of Michael S. Day relative to liability protections for essential businesses during the COVID-19 pandemic.  The Judiciary.",summary
4c4fb29c-9b27-4d15-b3ec-98ec836e1659,ocd-bill/0bcb67a6-221e-4b7e-91fd-1239412acb4d,"Senate, July 6 , 2020 -- Order (Senator Rodrigues) relative to procedures to be followed when considering the Senate Bill to reform police standards and shift resources to build a more equitable, fare and just commonwealth that values Black lives and communities of color (Senate, No. 2800)",summary
a549ee19-a4fe-4e57-845d-1ed49bb337b8,ocd-bill/748e0c70-e37e-4202-8cc9-b264cf685efc,"By Representative Blais of Sunderland and Senator Comerford, a joint petition (subject to Joint Rule 12) of Natalie M. Blais and Joanne M. Comerford for legislation to establish a sick leave bank for Carissa Sinclair, an employee of the Department of Mental Health.  Public Service.",summary
3f89d2e4-35ac-49e7-831d-0f72623207a1,ocd-bill/fc0a272d-cd71-445c-b800-dc6f4ce8271e,"By Mr. Galvin of Canton (by request), a petition (subject to Joint Rule 12) of Bob Costa relative to unemployment insurance and family medical leave benefits for certain visiting trainees.  Financial Services.",summary
0011eee5-9cf2-486f-b3a8-6f584ef44d3c,ocd-bill/db2445ea-6d36-4be1-b345-7b5f3ba63617,"By Mr. Hunt of Sandwich, a petition (accompanied by bill, House, No. 4839) of Randy Hunt and others (by vote of the town ) that the city known as the town of Barnstable be authorized to grant an easement to Eversource Energy.  Municipalities and Regional Government.  [Local Approval Received.]",summary
ccc61da8-3eac-40ec-81be-3c08dec33965,ocd-bill/4fc15dcb-b947-4df3-85c4-3800bd1d4210,"By Mr. González of Springfield, a petition (accompanied by bill, House, No. 372) of Carlos González and others relative to sports wagering.  Economic Development and Emerging Technologies.",summary
