id,identifier,title,classification,subject,session_identifier,jurisdiction,organization_classification
ocd-bill/4756f9ca-48df-4a8f-a985-bf838dbe1a5d,HD 1101,An Act relative to the soundproofing program facilitated by the Massachusetts Port Authority,['bill'],[],192nd,Massachusetts,lower
ocd-bill/9a65d791-d366-496a-80ab-a073e0dc1eed,HD 1108,An Act relative to the use of liquid calcium chloride on state highways,['bill'],[],192nd,Massachusetts,lower
ocd-bill/3c0b09e6-5ebf-42f1-a6b9-d57bc5b04ba2,HD 1093,"An Act allowing businesses to sign up for the ""Do Not Call"" list",['bill'],[],192nd,Massachusetts,lower
ocd-bill/4790c8c0-0026-4c0e-a9a6-d8f5c5c9ef6e,SD 501,An Act relative to the Hospitality Comeback,['bill'],[],192nd,Massachusetts,upper
ocd-bill/24d05ec8-7dc9-425b-98fc-868c4e212dde,HD 1050,An Act repealing the sales tax on boats built or rebuilt in the Commonwealth,['bill'],[],192nd,Massachusetts,lower
ocd-bill/9c94fc44-15c1-46af-a951-67e08a926b60,HD 1077,An Act relative to the definition of low and moderate income housing,['bill'],[],192nd,Massachusetts,lower
ocd-bill/031e9053-7fb5-4519-8e24-a28ad87b71d2,HD 1071,An Act regulating body art,['bill'],[],192nd,Massachusetts,lower
ocd-bill/9cbd139d-4e1f-4ba0-91da-96c6f16977cb,HD 1123,"An Act establishing a special commission to identify, preserve and commemorate historic roadways in Massachusetts",['bill'],[],192nd,Massachusetts,lower
ocd-bill/45fac4bc-222b-4967-b0c3-899c1507864c,SD 522,An Act to improve infection control within long-term care facilities,['bill'],[],192nd,Massachusetts,upper
ocd-bill/8d43ce73-0057-4865-8c64-e1f9bc1f6ca4,SD 510,An Act relative to unpaid student loans,['bill'],[],192nd,Massachusetts,upper
ocd-bill/f87c5dcc-9fea-4b23-8119-14e5f9d64c35,SD 508,An Act abolishing the death tax,['bill'],[],192nd,Massachusetts,upper
ocd-bill/48218c75-61fd-4098-91df-2a60ac474b4f,SD 507,An Act relative to graduate student loan deductions,['bill'],[],192nd,Massachusetts,upper
ocd-bill/53bfe836-9a8c-4b3a-9e22-dde03fcc0799,SD 499,An Act relative to promoting local economic development,['bill'],[],192nd,Massachusetts,upper
ocd-bill/48ff1752-0425-4bc0-adfe-6fa7d5d9e806,HD 1118,An Act promoting transparency in wind generated electricity production,['bill'],[],192nd,Massachusetts,lower
ocd-bill/9024df2f-e932-4519-acc7-cb76e2fa0946,HD 1086,An Act extending certain existing sales tax exemptions to veteran's organizations,['bill'],[],192nd,Massachusetts,lower
ocd-bill/728e7e43-e227-4226-8846-b2fd1c066028,HD 1044,"An Act relative to the transport, storage and sale of used bedding",['bill'],[],192nd,Massachusetts,lower
ocd-bill/8fcb19a9-13be-45a9-b8ef-509b366fbf23,HD 1095,An Act providing for property tax relief for small business owners,['bill'],[],192nd,Massachusetts,lower
ocd-bill/93be978d-b334-49dc-8517-269382628d50,HD 639,An Act relative to increasing patient choice through assignment of benefits,['bill'],[],192nd,Massachusetts,lower
ocd-bill/54180c32-0fd2-4a6a-a3a5-d3ab72cd0484,HD 1121,An Act establishing a property tax exemption for members of the National Guard,['bill'],[],192nd,Massachusetts,lower
ocd-bill/75c487e5-51dc-4441-b48a-793cbf7c9730,HD 1125,An Act to authorize firefighter motorcycle license plates,['bill'],[],192nd,Massachusetts,lower
ocd-bill/4f708a1b-367d-4223-a4b8-e42738a26284,HD 1081,An Act establishing uniform safeguards and public protections for consumers conducting bank transactions at automated teller machines,['bill'],[],192nd,Massachusetts,lower
ocd-bill/8d473f1f-ae0b-43bb-8a1b-76222bf6bfef,HD 1145,An Act relative to purchasing power protection for retiree benefits,['bill'],[],192nd,Massachusetts,lower
ocd-bill/5d6acb06-3ec8-4ea2-bbfe-eaddf28d11a9,HD 1120,An Act relative to the Secretary of State and ethics reform,['bill'],[],192nd,Massachusetts,lower
ocd-bill/00f8c264-37c6-49dc-b4f5-1400dfa51191,HD 1048,An Act directing the Massachusetts Department of Public Health to study the feasibility of reevaluating the process of testing for concussions and similar traumatic brain injuries,['bill'],[],192nd,Massachusetts,lower
ocd-bill/b57b53d9-622e-4580-90b3-3e24bf546548,HD 1115,An Act relative to accountability of public funds used for wind turbines,['bill'],[],192nd,Massachusetts,lower
ocd-bill/0c668c18-bf64-478f-9704-c85c5fddbad7,HD 1061,An Act relative to an investigation of flood insurance by the attorney general,['bill'],[],192nd,Massachusetts,lower
ocd-bill/4dc1a13b-c1c1-4271-998b-b5ef9301af87,HD 1124,An Act relative to education standards,['bill'],[],192nd,Massachusetts,lower
