id,bill_id,abstract,note
567e4225-1d8a-43d8-92f8-40e476979f97,ocd-bill/4c69d9e3-582a-460a-b904-b2c07d4e7ecc,Report of the Plymouth County Registry of Deeds (pursuant to Section 4 of Chapter 4 of the Acts of 2003 and Section 2KKK of Chapter 29 of the General Laws) submitting its plan for expenditure from the County Registers Technological Fund (copies having been forwarded as required to the Senate Committees on Ways and Means and Post Audit and Oversight).,summary
3b5130ac-b0a0-4f53-a976-e0bac36fb59a,ocd-bill/eae3cddd-43a3-4097-a1cf-a7a09e6967d2,"By Mr. Chan of Quincy, a petition (accompanied by bill, House, No. 410) of Tackey Chan for legislation to expand pleasure boat access to Boston Harbor.  Environment, Natural Resources and Agriculture.  ",summary
e93ccb37-bda4-4359-8342-adb57123ca39,ocd-bill/c67e41aa-6ecc-4a4f-b29d-0bd2cb6f00ad,"By Mrs. Campbell of Methuen, a petition (accompanied by bill, House, No. 4186) of Linda Dean Campbell and Andres X. Vargas (with the approval of the mayor and city council) that Brian M. Belfiore be authorized to take the civil service examination for the position of firefighter in the city of Haverhill, notwithstanding the maximum age requirement.  Public Service.  [Local Approval Received.]",summary
2ad18f27-71bb-4d2b-9814-b1dba9df638b,ocd-bill/5eb20567-45f4-4ffd-bc1f-53d58e76f3aa,"By Mr. Ayers of Quincy, a petition (accompanied by bill, House, No. 398) of Bruce J. Ayers relative to directing the Department of Fish and Game to study the feasibility of re-purposing the former Moon Island Sewage Treatment Plant for use as a fish and shellfish farm.  Environment, Natural Resources and Agriculture.  ",summary
145bbb53-a44e-42c9-8ad2-6238d1a690b3,ocd-bill/b0b78ba0-c9e4-409e-9e59-f92db83afbfd,"By Ms. Cronin of Easton, a petition (accompanied by bill, House, No. 2523) of Claire D. Cronin and others for legislation to grant creditable service time for Massachusetts National Guard service.  Public Service.  ",summary
352b643e-5891-4c0a-9665-bafd97f50006,ocd-bill/a5879d1f-df70-4343-b8ac-9b09c985e1c3,"By Mr. O'Connor, a petition (accompanied by bill, Senate, No. 1969) of Patrick M. O'Connor, Donald F. Humason, Jr., Sheila C. Harrington, James M. Cantwell and other members of the General Court for legislation to create a commission to study the feasibility of rapid transit systems.  Transportation.  ",summary
74c71ed9-1d66-429b-968d-0e3ef0fcb40b,ocd-bill/55f9b8f8-f1cc-4411-99f7-feb9b27b7714,"By Mr. Rodrigues, a petition (accompanied by bill, Senate, No. 2098) (subject to Joint Rule 12) of Michael J. Rodrigues, Carole A. Fiola, Paul A. Schmid, III, Alan Silvia and others for legislation to name a certain bridge in the city of Fall River as the Leonard “Lenny” Kaplan Memorial Bridge.  Transportation.  ",summary
00b8a4c2-9955-4657-8deb-9043cb642f27,ocd-bill/2a02348e-3ff1-41f8-b589-54e0a869724f,"SENATE, Thursday, December 7, 2017 -- The committee on Revenue to whom was referred the petition (accompanied by bill, Senate, No. 2056) of Michael J. Barrett, Adam G. Hinds, James B. Eldridge, Solomon Goldstein-Rose and other members of the General Court for legislation to enable taxpayer donations to the Least Developed Countries Fund, an initiative of the U.N. Framework Convention on Climate Change,- reports the accompanying bill (Senate, No. 2232).",summary
54cd955f-3d49-49df-888a-939ce58b6ebe,ocd-bill/fa686901-9f90-4f9f-9349-53bc73536f4e,"By Mr. Miceli of Wilmington, a petition (subject to Joint Rule 12) of James R. Miceli for legislation to establish a sick leave bank for Gary Erskine, an employee of the Department of Public Health.  Public Service.  ",summary
b038e72f-e455-4694-af55-ac6afdfbe3de,ocd-bill/06ebc379-f5e0-408b-9e18-e0c4c48dbd83,"By Ms. Donoghue, a petition (accompanied by bill, Senate, No. 417) of Eileen M. Donoghue and Jonathan Hecht for legislation to re-establish the Clean Environment Fund.  Environment, Natural Resources and Agriculture.  ",summary
bbbe2feb-c730-4f9c-b278-672e0d45dac4,ocd-bill/30a91060-b4ea-488f-b86a-c1a7fdffa3a5,"By Mr. Moore, a petition (accompanied by bill, Senate, No. 1337) of Michael O. Moore, James Arciero, Richard J. Ross, Steven Ultrino and other members of the General Court for legislation to establish the Correctional Officers' Procedural Bill of Rights.  Public Safety and Homeland Security.  ",summary
c0adcb0a-5d9d-47f2-b01a-ed11a29d2229,ocd-bill/ed57ae5a-43ee-44fc-b495-9ebe6c97688d,"By Ms. Vincent of Revere, a petition (accompanied by bill, House, No. 1638) of RoseLee Vincent for legislation to provide property tax relief for certain caregivers providing assistance for spouses or dependents.  Revenue.  ",summary
df44e3cf-960d-4a9e-a744-6c6782afb34c,ocd-bill/1c0a9f07-6a18-4fd3-af9f-d509d0e94dab,Communication from the Norfolk County Sheriff's Office submitting a copy of the plan of action reports for the Norfolk Sheriff's Office Correctional Center and Dedham Alternative Center.,summary
aae8e4cc-e817-479c-b95e-62a90e45599d,ocd-bill/bc6de2fa-9975-4707-bcdb-4f1c682c7b17,"By Representative Jones of North Reading and Senator Tarr, a joint petition (accompanied by bill, House, No. 4687) of Bradley H. Jones, Jr., and Bruce E. Tarr (by vote of the town) relative to town meetings of the town of North Reading.  Election Laws.  [Local Approval Received.]",summary
965d9d70-611a-4b88-a875-98929b4f3ff6,ocd-bill/59da5922-5a1b-4876-95b7-95783082c684,"By Representative McMurtry of Dedham and Senator Rush, a joint petition (accompanied by bill, House, No. 3574) of Paul McMurtry, Michael F. Rush and others relative to expanding coverage of dental procedures.  Financial Services.  ",summary
e7fd9e65-1279-4d11-bba2-70bd283112c4,ocd-bill/2f40b933-30a8-4b8e-9493-91e73197ab3d,"By Mr. Ross, a petition (accompanied by bill, Senate, No. 938) of Richard J. Ross, Ryan C. Fattman and Bruce E. Tarr for legislation relative to crimes against police officers.  The Judiciary.  ",summary
ce005ca9-2b94-47af-a1b9-69dbce27d92b,ocd-bill/bea1fa17-40c1-47f2-a396-6ad869f16fe5,"By Mr. Eldridge, a petition (accompanied by bill, Senate, No. 1843) of James B. Eldridge, Frank I. Smizik, Marjorie C. Decker, Paul R. Heroux and other members of the General Court for legislation to further promote energy efficiency and green jobs.  Telecommunications, Utilities and Energy.  ",summary
481a4547-db9c-450f-a776-954f09a48945,ocd-bill/613fd3c4-091b-45cd-8f1c-482170f56300,"By Ms. DiZoglio of Methuen, a petition (subject to Joint Rule 12) of Diana DiZoglio and others that the Department of Children and Families be authorized to establish a program that promotes infant sleep safety.  Children, Families and Persons with Disabilities.",summary
6a7a5ad9-d429-4f4b-9d57-9a81df71e9cb,ocd-bill/dd9a2e0d-6fd2-4226-8751-71d511c221b2,"By Mr. Scibak of South Hadley, a petition (accompanied by bill, House, No. 578) of John W. Scibak and others relative to advancing and expanding access to telemedicine services.  Financial Services.  ",summary
faa3df77-e040-485a-b6e7-cd94bbc2eed6,ocd-bill/b1f97a8e-c6ac-4051-aef1-bb9dc862a8c1,"By Mr. Chan of Quincy, a petition (accompanied by bill, House, No. 1923) of Tackey Chan and others for legislation to increase the annuities paid to certain disabled veterans and their families.  Veterans and Federal Affairs.  ",summary
787ede0d-dbd9-449a-b23c-e7bd11671265,ocd-bill/db43a212-44f8-4fe1-9314-12bf5c731f4f,"By Mr. Fattman, a petition (accompanied by bill, Senate, No. 1412) of Ryan C. Fattman for legislation to reform and modernize legislative transportation reimbursement.  Public Service.  ",summary
1cecb5a2-e049-4322-85fc-3ba2bc5895c6,ocd-bill/2a1aee63-6bfe-4458-a839-9ddeba1ac4d3,"By Ms. Chandler, a petition (accompanied by bill, Senate, No. 715) of Harriette L. Chandler for legislation to update Chapter 40R.  Housing.  ",summary
e1296b94-f75a-45b3-92d8-2f6d887e80a5,ocd-bill/81267c45-df93-402b-adc8-cfe6e74fff01,"By Ms. Garlick of Needham, a petition (accompanied by bill, House, No. 2459) of Denise C. Garlick and others relative to access to urgent and retail care.  Public Health.  ",summary
2e428fc9-1f80-4c1d-b432-045fcc1d3884,ocd-bill/3b974cbb-4d1d-456a-bdf6-880121175200,"Senate, January 11, 2018 -- The committee on Ways and Means, to whom was referred the Senate Bill relative to uniform financial aid information (Senate, No. 680),-- reports, recommending that the same ought to pass with an amendment substituting a new draft entitled ""An Act requiring institutions of higher education to provide uniform financial aid information to accepted applicants"" (Senate, No. 2247).",summary
ec521232-284e-46b4-9709-cb1883fcaea2,ocd-bill/6f2fbbc1-ffe8-4503-9fea-ce9272ff3006,"By Mr. Diehl of Whitman, a petition (accompanied by bill, House, No. 1506) of Geoff Diehl and David F. DeCoste relative to income tax return options.  Revenue.  ",summary
37d3c8e7-8861-4f1c-bd79-e60e1cf2db99,ocd-bill/ab62bc2d-bdaf-4ce6-bd57-3b6c9d98f0c2,"By Mr. Day of Stoneham, a petition (accompanied by bill, House, No. 603) of Michael S. Day for legislation relative to shared responsibility for funding of health care oversight agencies.  Health Care Financing.  ",summary
85d52a5a-9063-44a8-ab59-d9ed29ff61cf,ocd-bill/3b5e8123-5919-4c01-9109-1055ba2bf6de,"By Mr. Hunt of Sandwich, a petition (accompanied by bill, House, No. 3326) of Randy Hunt and others relative to corporate excise taxes for homeowners associations organized as corporations.  Revenue.  ",summary
d70d8ca8-3980-4379-ae2f-4f3b963dcb80,ocd-bill/ed4e9bc7-3ce5-45ae-bdcd-a000dcf83193,"By Mr. Hill of Ipswich, a petition (accompanied by bill, House, No. 3321) of Bradford R. Hill and others for legislation to provide tax credits for engaging in agricultural internships for qualified students for farm training.  Revenue.  ",summary
98411fc7-0a2d-4790-bd8d-cb25aa116f87,ocd-bill/e5431a22-f099-423e-bc80-2013309a5de5,"By Ms. Keefe of Worcester, a petition (accompanied by bill, House, No. 2561) of Mary S. Keefe and Daniel M. Donahue relative to valuation of public pension systems on a calendar year basis.  Public Service.  ",summary
e96542fc-7b0d-4338-8fad-4a06884edb82,ocd-bill/f8fe83f0-2f49-463a-b8cc-77655355bbaa,"By Mr. Schmid of Westport, a petition (accompanied by bill, House, No. 2941) of Paul A. Schmid, III and others relative to loans for failed septic systems.  Environment, Natural Resources and Agriculture.  ",summary
