id,identifier,title,classification,subject,session_identifier,jurisdiction,organization_classification
ocd-bill/6f2fbbc1-ffe8-4503-9fea-ce9272ff3006,H 1506,An Act relative to taxation,['bill'],[],190th,Massachusetts,lower
ocd-bill/5a388989-5d04-4c45-829b-bf6dfe682d7c,SD 2557,"Report of the Department of Public Health (pursuant to Sections 5, 20 and 21 of Chapter 111 of the General Laws) relative to inspections of the following correctional facilities: Western MA Women's Correctional Center, Plymouth County Correctional Facility",['bill'],[],190th,Massachusetts,upper
ocd-bill/2a1aee63-6bfe-4458-a839-9ddeba1ac4d3,S 715,An Act updating chapter 40R,['bill'],[],190th,Massachusetts,upper
ocd-bill/ab62bc2d-bdaf-4ce6-bd57-3b6c9d98f0c2,H 603,An Act regarding shared responsibility for funding of health care oversight agencies,['bill'],[],190th,Massachusetts,lower
ocd-bill/3b5e8123-5919-4c01-9109-1055ba2bf6de,H 3326,An Act relative to corporate excise taxes for homeowners associations organized as corporations,['bill'],[],190th,Massachusetts,lower
ocd-bill/81267c45-df93-402b-adc8-cfe6e74fff01,H 2459,An Act ensuring universal access to urgent and retail care,['bill'],[],190th,Massachusetts,lower
ocd-bill/3b974cbb-4d1d-456a-bdf6-880121175200,S 2247,An Act requiring institutions of higher education to provide uniform financial aid information to accepted applicants,['bill'],[],190th,Massachusetts,upper
ocd-bill/db43a212-44f8-4fe1-9314-12bf5c731f4f,S 1412,An Act to reform and modernize legislative transportation reimbursements,['bill'],[],190th,Massachusetts,upper
ocd-bill/e5431a22-f099-423e-bc80-2013309a5de5,H 2561,An Act Relating to Valuation of Pension Systems,['bill'],[],190th,Massachusetts,lower
ocd-bill/91f5ddf1-4972-4fdf-9045-edc5174fc96d,H 3063,An Act amending spousal support payments,['bill'],[],190th,Massachusetts,lower
ocd-bill/ed4e9bc7-3ce5-45ae-bdcd-a000dcf83193,H 3321,An Act relative to farm training in Massachusetts,['bill'],[],190th,Massachusetts,lower
