id,bill_id,related_bill_id,identifier,legislative_session,relation_type
2ebb9cd3-9c1b-4340-976f-601baef9cfd6,ocd-bill/88b0d16c-2830-48e6-aed6-a08ff3b17bd1,ocd-bill/48ea997c-7414-4230-a545-58e9560b08b4,HD 5429,193rd,replaces
72a2317d-a50a-4cb7-b688-e5ce6d3111a2,ocd-bill/c609bf41-8484-4704-adb6-19c7ecf39bdd,ocd-bill/f851443a-1a13-49be-aec3-a913f29d3a77,HD 5427,193rd,replaces
c53997ec-501b-4892-9e32-4f11b9a6d769,ocd-bill/a43d6450-44c9-45dd-aab0-11e672695e51,,HD 5077,193rd,replaces
d7af906a-1358-4555-9d38-763028c9e7af,ocd-bill/9e82452d-3150-4e57-9f5b-19cf1f2dc7e4,,SD 3203,193rd,replaces
24aaf6fd-e621-4a5f-8aed-cd0b554b6c06,ocd-bill/2ddc4698-b5dd-4293-8ea0-27a0e16ecfdf,ocd-bill/2f6eee50-3e04-4be9-bf9c-3ab22555c007,HD 5066,193rd,replaces
4bd2ca1a-7d6e-4556-b393-bfcae9b0af88,ocd-bill/1d0ee202-b714-45fd-bb57-4482ddb9f600,,HD 5283,193rd,replaces
2f25c5e7-0f49-41f2-a94d-65fa16dedff5,ocd-bill/a8e661ed-6d4d-43f0-8a80-2e0de827e657,ocd-bill/85e974fb-0a15-4d34-8754-f6274fee7fe2,HD 5272,193rd,replaces
68c74a4c-ce30-4c73-9499-42f05de62e2f,ocd-bill/5abcc5e1-01dd-4f3e-91b8-1d6c3ef52254,ocd-bill/dc9b0092-fcfd-4d60-8a18-fcd4000a0af0,HD 5252,193rd,replaces
2fb0119d-a8b8-41fe-a7d9-d3ea55ce0d3a,ocd-bill/6573cb58-e6dc-4a28-9e95-a0b6e15d0394,ocd-bill/fcbc5d10-9a48-4c53-8528-46a372b81011,HD 5270,193rd,replaces
03a26147-9af3-44b5-8701-5a481d189562,ocd-bill/14f30015-6bc2-49f9-9747-0b380538ac61,ocd-bill/5ab51f65-6bc6-4f5a-9794-362cb7a53a16,SD 3308,193rd,replaces
050f6955-b799-41c2-aab1-dadcb82584e2,ocd-bill/6021b118-b781-471d-a965-02bd30a6bf4b,,HD 5362,193rd,replaces
90047971-6c9e-42b8-828d-8b685c1144df,ocd-bill/d3f295e3-2f1b-433f-bebe-8b6ea3fc6730,,HD 5080,193rd,replaces
a0404fc9-386b-4721-b217-7f4a60a44503,ocd-bill/eb08dbbe-36f5-4036-a0e9-1c5db4e33fd3,,HD 5081,193rd,replaces
0c1beadc-2e20-47b0-85f6-77ae8962e54a,ocd-bill/5266716c-2d58-44e2-8981-36f9b3453e21,ocd-bill/c6570758-05f2-4999-b9fc-6da1136b6e6c,HD 5379,193rd,replaces
e3e8c5dd-b85e-4d52-919a-a3724b7352fd,ocd-bill/c23a719c-19ef-4717-a472-ab51f81fc9e6,ocd-bill/9ff13e20-1565-45a7-9a47-56c9f2c8e24a,HD 5271,193rd,replaces
7532678c-a911-494b-ac50-3d2d3ac10477,ocd-bill/a8bfed88-5cef-4b61-9457-ac8bbab86b34,ocd-bill/62a615ab-5380-4f8c-b83d-f686842387a0,SD 3320,193rd,replaces
2ed3ec88-b44d-4d40-8edb-499c6354aac2,ocd-bill/565e5600-cd2a-4bc2-a1e5-fa576c2acd2b,,SD 3216,193rd,replaces
6e3eac60-2882-4db7-b9c5-df37a5996193,ocd-bill/569cd94a-ff9a-4ab3-aaa0-ea186731d30d,ocd-bill/373b43e7-d449-4a82-a0a6-55f8c1dbac59,HD 5159,193rd,replaces
2e73f3c5-cf42-4357-981e-9baf493a707f,ocd-bill/206e351b-bbd0-4f0a-b9e1-3cc9eca54186,ocd-bill/57c4ea65-2b23-4960-9c35-923cc1b54d30,HD 5149,193rd,replaces
f0ec287c-8e74-44e2-b23e-5b3cd507541c,ocd-bill/781a17e6-d7cd-4822-a602-6ff5a581375c,ocd-bill/4c30fe8c-bbe6-4cb0-b664-5051dc2d62e1,HD 5151,193rd,replaces
67763585-c664-43af-919a-7c83d3dc687f,ocd-bill/e502bb11-4dee-415a-b33d-fcdd3f53d33b,ocd-bill/dbabd3da-2000-4698-8d0b-92d37815cf2f,HD 5268,193rd,replaces
ae982543-afa9-4301-b0e5-609b7b212980,ocd-bill/faf6c5f1-71c7-4541-ba2f-dde8de10e09a,,HD 5281,193rd,replaces
2dcf7833-1e66-4def-923f-dd2b503b8a96,ocd-bill/5b641c7b-b079-4627-86ec-0677451d3e13,ocd-bill/35d7299e-bdc6-494c-845f-e24fdd0d1650,HD 5139,193rd,replaces
1d02c705-0c1a-4c27-8e7c-8189603b54e0,ocd-bill/4ac87c7e-6479-4ede-b374-cd340ca5234e,ocd-bill/c2ab4fac-97f3-414f-a898-862132a37bc4,HD 5284,193rd,replaces
d1626ce8-4e9d-420a-b8ee-54592318ff7d,ocd-bill/4373dc9c-926f-4991-a082-1cd38f1da2ec,ocd-bill/cd5c2066-02c4-4b51-bd02-0147169c4a5f,HD 5052,193rd,replaces
58457174-a53a-4f2d-a12c-b858d0ab24f0,ocd-bill/e631aa7f-b634-4889-90a3-15a226ea043d,,SD 3360,193rd,replaces
e51b1000-72ec-4f20-a4e5-ed9abeb07448,ocd-bill/22b1fef1-0be1-4300-bfb5-46d0656a3157,ocd-bill/3c77a334-c7d2-401d-96a8-9f00a5301514,HD 5287,193rd,replaces
68dae8ec-0a61-453c-8ba6-b1cfa6387f76,ocd-bill/aaa5e3bd-8fec-4f19-9809-5ba7a65de996,,HD 5082,193rd,replaces
38877fd2-806d-44c2-8004-754c78eeeaf5,ocd-bill/804d31cf-cf36-4a9d-aa04-0ff92ffb96e9,,SD 3214,193rd,replaces
